"['Moviename', 'Userscore', 'Author']"
inside-llewyn-davis,10,Thegodfatherson
homefront,8,TheQuietGamer
in-fear,7,TheQuietGamer
the-hobbit-the-desolation-of-smaug,9,analogkid280
mandela-long-walk-to-freedom,7,TVJerry
saving-mr-banks,7,TVJerry
saving-mr-banks,9,BrianMcCritic
saving-mr-banks,9,Thegodfatherson
the-book-thief,8,Thegodfatherson
kill-your-darlings,7,TVJerry
the-great-beauty,8,JLuis_001
frozen-2013,10,Thegodfatherson
saving-mr-banks,7,MovieGuys
the-wolf-of-wall-street,10,Thegodfatherson
august-osage-county,7,JLuis_001
inside-llewyn-davis,9,BrianMcCritic
anchorman-2-the-legend-continues,7,BrianMcCritic
out-of-the-furnace,7,Thegodfatherson
the-hobbit-the-desolation-of-smaug,8,Bruce722
out-of-the-furnace,7,Compi24
the-secret-life-of-walter-mitty,7,Compi24
american-hustle,10,Thegodfatherson
saving-mr-banks,9,TheQuietGamer
american-hustle,9,TVJerry
saving-mr-banks,8,Spangle
saving-mr-banks,7,catcarlo
inside-llewyn-davis,8,TVJerry
saving-mr-banks,8,Compi24
the-lego-movie,10,TheQuietGamer
anchorman-2-the-legend-continues,9,Thegodfatherson
grace-unplugged,7,TheQuietGamer
how-i-live-now,8,TVJerry
the-best-man-holiday,9,Thegodfatherson
american-hustle,9,catcarlo
how-i-live-now,7,Thegodfatherson
austenland,7,TVJerry
out-of-the-furnace,8,JLuis_001
frozen-2013,9,BrianMcCritic
anchorman-2-the-legend-continues,7,analogkid280
godzilla-2014,7,theoffice
anchorman-2-the-legend-continues,8,Compi24
inside-llewyn-davis,8,catcarlo
godzilla-2014,9,Compi24
the-fifth-estate,7,TVJerry
anchorman-2-the-legend-continues,7,MovieGuys
cloudy-with-a-chance-of-meatballs-2,8,Thegodfatherson
the-hobbit-the-desolation-of-smaug,10,Thegodfatherson
escape-plan,8,Thegodfatherson
the-wolf-of-wall-street,10,TVJerry
jackass-presents-bad-grandpa,7,TheQuietGamer
american-hustle,9,BrianMcCritic
the-lego-movie,7,TVJerry
dallas-buyers-club,7,TVJerry
escape-plan,7,TVJerry
free-birds,7,TheQuietGamer
jackass-presents-bad-grandpa,10,Thegodfatherson
escape-plan,9,TheQuietGamer
frozen-2013,7,TVJerry
frozen-2013,7,TheQuietGamer
dallas-buyers-club,10,Thegodfatherson
jackass-presents-bad-grandpa,9,TVJerry
the-lego-movie,8,Spangle
the-wolf-of-wall-street,8,analogkid280
inside-llewyn-davis,7,Spangle
anchorman-2-the-legend-continues,9,TheQuietGamer
dallas-buyers-club,8,Compi24
escape-plan,7,Bruce722
the-counselor,10,Thegodfatherson
dallas-buyers-club,8,BrianMcCritic
jackass-presents-bad-grandpa,8,BrianMcCritic
all-is-lost,7,Spangle
all-is-lost,7,Nesbitt10
youre-next,7,Compi24
dallas-buyers-club,10,MovieGuys
all-is-lost,8,BrianMcCritic
riddick,9,TheQuietGamer
the-spectacular-now,8,BrianMcCritic
short-term-12,9,BrianMcCritic
youre-next,7,Nesbitt10
all-is-lost,9,MovieGuys
the-counselor,8,Spangle
dallas-buyers-club,8,catcarlo
godzilla-2014,8,RoraEst
blue-caprice,8,Nesbitt10
20-feet-from-stardom,8,TVJerry
enough-said,10,Thegodfatherson
inside-llewyn-davis,8,JLuis_001
enough-said,9,BrianMcCritic
short-term-12,9,Spangle
enders-game,7,analogkid280
blue-caprice,7,JLuis_001
lee-daniels-the-butler,9,BrianMcCritic
carrie,7,Thegodfatherson
enough-said,7,MovieGuys
riddick,7,analogkid280
american-hustle,8,Spangle
all-is-lost,8,JLuis_001
lee-daniels-the-butler,9,Thegodfatherson
the-spectacular-now,9,Spangle
riddick,8,Thegodfatherson
enders-game,7,Compi24
the-wolf-of-wall-street,10,BrianMcCritic
dallas-buyers-club,7,Spangle
the-hobbit-the-desolation-of-smaug,9,TheQuietGamer
godzilla-2014,7,Spangle
riddick,7,Bruce722
enders-game,8,Bruce722
youre-next,7,Spangle
lee-daniels-the-butler,10,MovieGuys
man-of-tai-chi,10,Thegodfatherson
the-hobbit-the-desolation-of-smaug,8,theoffice
the-spectacular-now,7,JLuis_001
the-hunt,10,BrianMcCritic
fast-furious-6,7,Tbrown15
enders-game,7,TheQuietGamer
riddick,7,Compi24
carrie,7,TheQuietGamer
prisoners,9,BrianMcCritic
fast-furious-6,9,TheQuietGamer
despicable-me-2,9,Thegodfatherson
the-hobbit-the-desolation-of-smaug,9,Compi24
the-hunt,9,TVJerry
prisoners,9,MovieGuys
the-hunt,8,Spangle
the-hunt,8,Nesbitt10
the-wolf-of-wall-street,9,Compi24
american-hustle,7,theoffice
riddick,8,Apemonkey666
2-guns,8,TheQuietGamer
prisoners,9,Thegodfatherson
red-2,7,TVJerry
american-hustle,9,MovieGuys
despicable-me-2,8,theoffice
wolf-children,9,SEROJ
red-2,7,MovieGuys
2-guns,10,Thegodfatherson
frozen-2013,7,Compi24
2-guns,7,TVJerry
fast-furious-6,10,Thegodfatherson
getaway,7,TheQuietGamer
2-guns,7,theoffice
the-wolf-of-wall-street,9,theoffice
prisoners,10,Compi24
the-wolf-of-wall-street,8,Spangle
despicable-me-2,7,TheQuietGamer
the-wolf-of-wall-street,8,catcarlo
girl-most-likely,7,TVJerry
prisoners,7,TVJerry
the-wolverine,7,BrianMcCritic
prisoners,9,TheQuietGamer
despicable-me-2,7,SEROJ
fast-furious-6,8,Bruce722
turbo,9,TheQuietGamer
blackfish,8,BrianMcCritic
prisoners,8,Spangle
parkland,8,TVJerry
turbo,8,SEROJ
prisoners,8,catcarlo
fast-furious-6,7,Compi24
american-hustle,9,Compi24
the-wolverine,8,Compi24
passion,7,Spangle
the-worlds-end,9,BrianMcCritic
frances-ha,7,Spangle
frances-ha,8,BrianMcCritic
white-house-down,7,TVJerry
the-worlds-end,10,Thegodfatherson
the-wolverine,7,Thegodfatherson
much-ado-about-nothing,8,Thegodfatherson
grown-ups-2,8,TheQuietGamer
after-earth,7,Bruce722
kevin-hart-let-me-explain,7,Thegodfatherson
much-ado-about-nothing,7,TVJerry
white-house-down,7,TheQuietGamer
the-croods,10,Thegodfatherson
a-hijacking,8,Nesbitt10
the-worlds-end,7,TVJerry
kevin-hart-let-me-explain,9,TheQuietGamer
the-worlds-end,8,Nesbitt10
man-of-steel,10,Compi24
europa-report,7,Spangle
white-house-down,8,MovieGuys
the-croods,9,TheQuietGamer
europa-report,7,JLuis_001
frozen-2013,8,Bruce722
the-worlds-end,9,Compi24
after-earth,9,TheQuietGamer
the-croods,8,BrianMcCritic
the-croods,7,SEROJ
cockneys-vs-zombies,10,Thegodfatherson
the-english-teacher,8,TVJerry
love-is-all-you-need,7,TVJerry
prisoners,9,JLuis_001
the-lords-of-salem,7,Thegodfatherson
the-iceman,8,reddave2
the-iceman,7,Spangle
now-you-see-me,8,Thegodfatherson
chasing-ice,10,StevenF
the-east,8,TVJerry
world-war-z,7,theoffice
the-worlds-end,7,TheQuietGamer
disconnect,9,BrianMcCritic
the-bling-ring,8,Thegodfatherson
stories-we-tell,8,BrianMcCritic
the-east,7,Thegodfatherson
the-wolverine,9,TheQuietGamer
the-wolverine,7,Bruce722
man-of-steel,8,SEROJ
the-wolverine,7,theoffice
the-bling-ring,7,TVJerry
the-reluctant-fundamentalist,9,TVJerry
the-reluctant-fundamentalist,7,Thegodfatherson
the-wolverine,9,analogkid280
now-you-see-me,9,TVJerry
epic-2013,10,Thegodfatherson
what-maisie-knew,10,BrianMcCritic
emperor,10,Thegodfatherson
the-big-wedding,7,TheQuietGamer
black-rock,9,Thegodfatherson
the-sapphires,8,BrianMcCritic
the-place-beyond-the-pines,8,TVJerry
now-you-see-me,9,TheQuietGamer
the-sapphires,7,TVJerry
amour,9,lahaine2012
the-great-gatsby,9,Thegodfatherson
to-the-wonder,7,Thegodfatherson
amour,9,Nesbitt10
pacific-rim,7,TVJerry
the-place-beyond-the-pines,9,BrianMcCritic
world-war-z,7,Thegodfatherson
olympus-has-fallen,8,TVJerry
the-great-gatsby,7,Spangle
the-host-2013,8,Bruce722
the-place-beyond-the-pines,10,Thegodfatherson
olympus-has-fallen,8,theoffice
no,7,Thegodfatherson
the-call,9,TVJerry
olympus-has-fallen,10,Thegodfatherson
bullet-to-the-head,7,analogkid280
the-call,9,Thegodfatherson
solomon-kane,8,StevenF
42,10,Thegodfatherson
bullet-to-the-head,7,Thegodfatherson
the-place-beyond-the-pines,9,StevenF
no,8,catcarlo
olympus-has-fallen,7,StevenF
the-great-gatsby,10,theoffice
bullet-to-the-head,7,TheQuietGamer
42,7,BrianMcCritic
the-place-beyond-the-pines,7,reddave2
the-call,9,TheQuietGamer
the-place-beyond-the-pines,8,Spangle
42,7,Nesbitt10
pacific-rim,7,Thegodfatherson
the-great-gatsby,9,GHopp8
42,8,Compi24
the-call,7,Bruce722
spring-breakers,10,Thegodfatherson
the-place-beyond-the-pines,8,analogkid280
the-place-beyond-the-pines,8,catcarlo
olympus-has-fallen,7,Compi24
the-place-beyond-the-pines,8,Compi24
spring-breakers,10,analogkid280
the-place-beyond-the-pines,8,Nesbitt10
quartet,7,TVJerry
hansel-and-gretel-witch-hunters,9,TheQuietGamer
pacific-rim,7,analogkid280
olympus-has-fallen,7,BrianMcCritic
trance,8,Apemonkey666
the-great-gatsby,8,TVJerry
world-war-z,8,TVJerry
now-you-see-me,7,Spangle
21-and-over,8,Bruce722
trance,7,TVJerry
world-war-z,7,Compi24
the-call,7,MovieGuys
spring-breakers,7,BrianMcCritic
trance,10,Thegodfatherson
man-of-steel,9,Bruce722
42,8,MovieGuys
jack-reacher,10,theoffice
barrymore,8,MovieGuys
stand-up-guys,7,BrianMcCritic
mama,8,TheQuietGamer
trance,7,BrianMcCritic
side-effects-2013,8,analogkid280
safe-haven,7,TheQuietGamer
texas-chainsaw-3d,7,Thegodfatherson
safe-haven,7,Bruce722
hansel-and-gretel-witch-hunters,10,Thegodfatherson
pacific-rim,7,Spangle
movie-43,9,TheQuietGamer
texas-chainsaw-3d,7,TVJerry
stand-up-guys,7,MovieGuys
movie-43,10,TheGeographer52
one-day-on-earth,10,Thegodfatherson
future-weather,7,BrianMcCritic
dragon,8,Nesbitt10
the-great-gatsby,8,TheQuietGamer
gangster-squad,7,TVJerry
texas-chainsaw-3d,9,TheQuietGamer
gangster-squad,10,Thegodfatherson
the-great-gatsby,7,catcarlo
promised-land,7,Spangle
jack-reacher,7,StevenF
django-unchained,9,BrianMcCritic
side-effects-2013,8,Spangle
side-effects-2013,7,Compi24
django-unchained,10,TVJerry
side-effects-2013,8,Nesbitt10
pacific-rim,8,TheQuietGamer
world-war-z,9,TheQuietGamer
mama,7,BrianMcCritic
the-impossible,10,StevenF
a-haunted-house,7,TheQuietGamer
django-unchained,10,Efrain
side-effects-2013,8,Thegodfatherson
the-impossible,10,Bruce722
the-baytown-outlaws,8,Thegodfatherson
world-war-z,8,Bruce722
john-dies-at-the-end,8,Apemonkey666
any-day-now,8,TVJerry
the-impossible,8,Spangle
side-effects-2013,9,BrianMcCritic
jack-reacher,9,Bruce722
the-central-park-five,8,Nesbitt10
mama,7,MovieGuys
pacific-rim,9,Bruce722
side-effects-2013,9,MovieGuys
olympus-has-fallen,8,MovieGuys
gangster-squad,7,analogkid280
the-impossible,9,BrianMcCritic
world-war-z,8,Tbrown15
lincoln,10,StevenF
a-royal-affair,8,catcarlo
lincoln,10,BrianMcCritic
world-war-z,7,Spangle
pacific-rim,8,Compi24
the-impossible,9,MovieGuys
pacific-rim,7,Nesbitt10
gangster-squad,7,Bruce722
the-impossible,9,shiftworker
lincoln,9,TVJerry
the-impossible,7,TVJerry
pacific-rim,8,BrianMcCritic
world-war-z,7,BrianMcCritic
gangster-squad,7,Spangle
chasing-mavericks,8,Bhawk
lincoln,7,theoffice
fun-size,8,TheQuietGamer
holy-motors,8,lahaine2012
holy-motors,8,Apemonkey666
this-is-40,8,TVJerry
silver-linings-playbook,9,lkusa
cloud-atlas,8,lahaine2012
the-master,7,Nesbitt10
holy-motors,7,BrianMcCritic
the-master,9,BrianMcCritic
les-miserables,10,TVJerry
side-by-side,8,Apemonkey666
the-twilight-saga-breaking-dawn---part-2,8,analogkid280
anna-karenina,7,catcarlo
this-is-40,7,TheQuietGamer
silver-linings-playbook,8,Bruce722
here-comes-the-boom,7,TheQuietGamer
django-unchained,9,Compi24
here-comes-the-boom,7,Bruce722
flight,8,theoffice
celeste-and-jesse-forever,10,RoraEst
world-war-z,8,MovieGuys
this-is-40,7,BrianMcCritic
silver-linings-playbook,10,analogkid280
argo,8,TVJerry
lincoln,7,Compi24
cloud-atlas,7,Apemonkey666
the-master,9,StevenF
the-master,10,lahaine2012
argo,7,lahaine2012
silver-linings-playbook,9,Compi24
lincoln,10,MovieGuys
silver-linings-playbook,8,Nesbitt10
seven-psychopaths,9,lkusa
argo,9,Compi24
for-a-good-time-call,8,BrianMcCritic
the-awakening,7,Spangle
seven-psychopaths,10,Efrain
end-of-watch,10,StevenF
lincoln,8,Bruce722
les-miserables,10,StevenF
les-miserables,10,Bruce722
end-of-watch,8,TVJerry
seven-psychopaths,9,MovieGuys
flight,9,StevenF
argo,8,Spangle
hotel-transylvania,7,TheQuietGamer
seven-psychopaths,9,StevenF
flight,7,Bruce722
looper,10,theoffice
end-of-watch,8,Bruce722
seven-psychopaths,7,Bruce722
samsara,9,Apemonkey666
silver-linings-playbook,8,Spangle
cloud-atlas,8,Spangle
man-of-steel,10,analogkid280
lincoln,9,lahaine2012
silver-linings-playbook,8,catcarlo
seven-psychopaths,7,Spangle
end-of-watch,8,Apemonkey666
flight,7,lahaine2012
seven-psychopaths,7,Compi24
cloud-atlas,9,Compi24
flight,7,Spangle
end-of-watch,8,Spangle
flight,7,analogkid280
seven-psychopaths,7,Nesbitt10
end-of-watch,10,Efrain
flight,7,Compi24
django-unchained,10,StevenF
flight,7,Nesbitt10
seven-psychopaths,8,BrianMcCritic
cosmopolis,7,Spangle
end-of-watch,8,Compi24
end-of-watch,7,Nesbitt10
lincoln,8,catcarlo
end-of-watch,9,Thegodfatherson
flight,7,BrianMcCritic
nitro-circus-the-movie,8,Bruce722
savages,10,Thegodfatherson
lawless,7,analogkid280
end-of-watch,7,BrianMcCritic
lawless,7,OneManCrowd
argo,9,BrianMcCritic
lincoln,9,Nesbitt10
lawless,7,Nickmovies
silver-linings-playbook,10,BrianMcCritic
lawless,9,Bhawk
lawless,8,Krokodebil
lawless,9,tykittaa
paranorman,10,tykittaa
arthur-christmas,9,TheQuietGamer
lawless,10,Hampton
lawless,9,lkusa
lawless,8,MikeBenacquista
man-of-steel,8,BrianMcCritic
les-miserables,8,lahaine2012
django-unchained,8,Apemonkey666
lawless,9,Smilezey
flight,10,MovieGuys
argo,10,StevenF
les-miserables,9,Spangle
lawless,10,Jay0676
lawless,8,SebDangerfield
argo,8,Bruce722
lawless,9,ValMuffley
savages,7,TVJerry
lawless,8,Compi24
men-in-black-iii,8,theoffice
argo,8,DTDunn
django-unchained,9,reddave2
lawless,9,TheQuietGamer
man-of-steel,9,Thegodfatherson
safety-not-guaranteed,9,Bruce722
lawless,8,StevenF
savages,7,Bruce722
django-unchained,7,Spangle
your-sisters-sister,8,Spangle
lawless,7,Say_Chidz
argo,9,reddave2
savages,7,SantiagoMAKiiNA
arthur-christmas,8,BrianMcCritic
les-miserables,7,Compi24
savages,8,Tbrown15
silver-linings-playbook,10,MovieGuys
brave,9,TheQuietGamer
lawless,7,Tbrown15
argo,7,catcarlo
django-unchained,8,catcarlo
lawless,7,Efrain
lawless,8,DNAVL
lawless,8,pavan4u
paranorman,7,Apemonkey666
the-master,8,Tbrown15
the-master,8,Spangle
safety-not-guaranteed,8,Spangle
lawless,9,Thegodfatherson
men-in-black-iii,10,TVJerry
lawless,9,BrianMcCritic
lawless,7,miketheecowboy
paranorman,8,catcarlo
safety-not-guaranteed,7,Compi24
django-unchained,9,Nesbitt10
lawless,8,SEROJ
argo,9,Nesbitt10
safety-not-guaranteed,7,BrianMcCritic
savages,7,BrianMcCritic
lawless,7,musicalstoryyes
the-expendables-2,7,theoffice
lawless,10,WeldonR
the-master,8,catcarlo
looper,7,SantiagoMAKiiNA
the-best-exotic-marigold-hotel,8,TVJerry
the-master,8,MovieGuys
sound-of-my-voice,7,BrianMcCritic
safe,9,TheQuietGamer
the-avengers-2012,8,theoffice
safe,7,theoffice
the-expendables-2,7,Compi24
the-expendables-2,7,Bruce722
men-in-black-iii,7,TheQuietGamer
the-expendables-2,8,StevenF
the-avengers-2012,9,TheQuietGamer
the-expendables-2,9,TheQuietGamer
django-unchained,10,Thegodfatherson
the-expendables-2,8,Thegodfatherson
the-amazing-spider-man,7,BrianMcCritic
brave,7,Bruce722
safe,8,Bruce722
the-amazing-spider-man,8,SantiagoMAKiiNA
django-unchained,8,SEROJ
the-expendables-2,7,MovieGuys
the-best-exotic-marigold-hotel,7,Spangle
men-in-black-iii,7,StevenF
brave,8,Compi24
men-in-black-iii,8,Bruce722
the-best-exotic-marigold-hotel,8,Compi24
a-separation,9,MovieGuys
the-amazing-spider-man,7,reddave2
bernie,8,TVJerry
the-amazing-spider-man,8,Compi24
a-separation,10,TVJerry
the-avengers-2012,9,BrianMcCritic
american-reunion,8,Bruce722
bernie,9,TheQuietGamer
dr-seuss-the-lorax,7,TheQuietGamer
the-cabin-in-the-woods,10,Apemonkey666
margaret,8,Spangle
the-dictator,10,lkusa
brave,9,Spangle
bernie,7,Spangle
wanderlust,7,TVJerry
seeking-justice,7,Bruce722
bernie,8,MovieGuys
brave,7,SEROJ
men-in-black-iii,7,Apemonkey666
snow-white-and-the-huntsman,7,SantiagoMAKiiNA
men-in-black-iii,7,Tbrown15
django-unchained,10,MovieGuys
salmon-fishing-in-the-yemen-2012,8,StevenF
salmon-fishing-in-the-yemen-2012,8,SantiagoMAKiiNA
salmon-fishing-in-the-yemen-2012,7,Spangle
jeff-who-lives-at-home,9,BrianMcCritic
a-separation,8,Compi24
brave,8,StevenF
snow-white-and-the-huntsman,7,TVJerry
men-in-black-iii,7,Compi24
wanderlust,7,TheQuietGamer
the-artist,9,TVJerry
the-three-stooges,9,lkusa
american-reunion,7,Apemonkey666
the-three-stooges,7,TheQuietGamer
the-artist,9,lkusa
american-reunion,7,MovieGuys
the-three-stooges,9,Thegodfatherson
the-three-stooges,8,MovieGuys
the-dictator,7,TheQuietGamer
the-artist,10,Bhawk
21-jump-street,7,TVJerry
21-jump-street,10,TheQuietGamer
the-dictator,8,franco214
the-dictator,9,StevenF
the-cabin-in-the-woods,7,TVJerry
django-unchained,9,shiftworker
the-grey,8,TVJerry
clash-of-the-titans-2,7,Apemonkey666
21-jump-street,8,StevenF
project-x,9,TheQuietGamer
snow-white-and-the-huntsman,8,franco214
21-jump-street,8,Bruce722
snow-white-and-the-huntsman,9,StevenF
project-x,9,Bruce722
snow-white-and-the-huntsman,7,Bruce722
project-x,7,MovieGuys
the-grey,7,Bruce722
snow-white-and-the-huntsman,7,Apemonkey666
extremely-loud-and-incredibly-close,9,MovieGuys
tyrannosaur,7,JLuis_001
the-descendants,8,TVJerry
the-grey,9,theoffice
the-artist,8,Apemonkey666
we-bought-a-zoo,7,TheQuietGamer
the-adventures-of-tintin,8,BrianMcCritic
war-horse,8,Bhawk
the-grey,9,TheQuietGamer
the-sitter,9,TheQuietGamer
21-jump-street,7,Apemonkey666
hop,7,TheQuietGamer
the-artist,9,Compi24
the-girl-with-the-dragon-tattoo-2011,9,TheQuietGamer
the-adventures-of-tintin,8,TheQuietGamer
carnage-2011,8,StevenF
the-adventures-of-tintin,7,TVJerry
in-the-land-of-blood-and-honey,7,DTDunn
carnage-2011,7,Apemonkey666
the-artist,10,MovieGuys
haywire,7,Compi24
carnage-2011,8,Spangle
21-jump-street,9,Compi24
war-horse,7,TVJerry
the-cabin-in-the-woods,8,Nesbitt10
chronicle-2012,10,StevenF
the-woman-in-black,8,Thegodfatherson
the-muppets,7,Apemonkey666
the-adventures-of-tintin,9,MovieGuys
the-cabin-in-the-woods,9,BrianMcCritic
21-jump-street,8,MovieGuys
the-woman-in-black,7,TheQuietGamer
the-dictator,7,Thegodfatherson
mission-impossible---ghost-protocol,10,MovieGuys
the-muppets,8,TVJerry
the-dictator,8,MovieGuys
the-amazing-spider-man,8,theoffice
the-adventures-of-tintin,10,Bhawk
the-iron-lady,7,TVJerry
the-iron-lady,8,Bhawk
the-skin-i-live-in,7,TVJerry
hugo,10,MovieGuys
hugo,8,BrianMcCritic
shame,7,TVJerry
mission-impossible---ghost-protocol,9,TVJerry
j-edgar,9,TVJerry
the-girl-with-the-dragon-tattoo-2011,8,TVJerry
shame,9,StevenF
the-darkest-hour,8,Bruce722
the-muppets,9,BrianMcCritic
shame,8,Apemonkey666
shame,9,Spangle
shame,8,Nesbitt10
puss-in-boots,7,TheQuietGamer
the-amazing-spider-man,7,MovieGuys
j-edgar,8,StevenF
martha-marcy-may-marlene,8,BrianMcCritic
the-hunger-games,7,TVJerry
the-amazing-spider-man,9,TheQuietGamer
the-descendants,9,Spangle
the-girl-with-the-dragon-tattoo-2011,10,StevenF
j-edgar,7,Apemonkey666
tinker-tailor-soldier-spy,8,Spangle
the-adventures-of-tintin,8,Compi24
killer-elite,8,TheQuietGamer
the-descendants,8,Compi24
young-adult,8,Spangle
jack-and-jill,9,TheQuietGamer
the-amazing-spider-man,8,StevenF
tinker-tailor-soldier-spy,7,Compi24
the-amazing-spider-man,9,Bruce722
young-adult,8,Compi24
the-ides-of-march,8,DTDunn
the-ides-of-march,8,TVJerry
margin-call,7,Spangle
mission-impossible---ghost-protocol,8,BrianMcCritic
the-guard,9,StevenF
the-hunger-games,9,TheQuietGamer
the-guard,7,Spangle
senna,8,Spangle
immortals,7,TheQuietGamer
margin-call,8,Compi24
the-girl-with-the-dragon-tattoo-2011,7,Apemonkey666
the-ides-of-march,9,StevenF
hugo,9,TVJerry
the-girl-with-the-dragon-tattoo-2011,8,Compi24
warrior,10,BrianMcCritic
the-ides-of-march,9,Apemonkey666
30-minutes-or-less,7,TheQuietGamer
midnight-in-paris,8,TVJerry
the-ides-of-march,8,Compi24
the-debt,8,Bruce722
mission-impossible---ghost-protocol,10,StevenF
the-debt,8,Compi24
the-debt,9,MovieGuys
maos-last-dancer,9,TVJerry
cowboys-aliens,9,TheQuietGamer
hall-pass,7,TVJerry
yogi-bear,7,TheQuietGamer
fright-night,8,Compi24
warrior,8,Spangle
the-green-hornet,8,Thegodfatherson
the-hangover-part-ii,7,TheQuietGamer
warrior,8,Nesbitt10
drive-angry-3d,10,tykittaa
mission-impossible---ghost-protocol,7,Apemonkey666
mission-impossible---ghost-protocol,10,Compi24
the-green-hornet,9,TVJerry
moneyball,8,Bruce722
jackass-3-d,9,TVJerry
hall-pass,7,Thegodfatherson
midnight-in-paris,8,Spangle
127-hours,9,TVJerry
midnight-in-paris,8,BrianMcCritic
blue-valentine,9,Spangle
moneyball,9,Compi24
moneyball,10,Thegodfatherson
moneyball,9,BrianMcCritic
moneyball,9,MovieGuys
inside-job,8,MovieGuys
the-next-three-days,7,Compi24
faster-2010,7,Thegodfatherson
the-next-three-days,8,MovieGuys
the-green-hornet,7,TheQuietGamer
waiting-for-superman,9,TVJerry
you-again,8,TheQuietGamer
unstoppable,9,TVJerry
jackass-3-d,7,Compi24
burlesque,7,SEROJ
tangled,9,TheQuietGamer
the-hunger-games,8,Apemonkey666
cowboys-aliens,7,Spangle
machete,10,TVJerry
tangled,8,TVJerry
despicable-me,9,StevenF
nanny-mcphee-returns,9,TheQuietGamer
machete,10,Thegodfatherson
piranha-3-d,9,Thegodfatherson
restrepo,8,JLuis_001
catfish,7,BrianMcCritic
the-hunger-games,8,Compi24
shrek-forever-after,7,TheQuietGamer
the-green-hornet,7,Compi24
unstoppable,8,Compi24
unstoppable,7,MovieGuys
127-hours,7,Spangle
the-hangover-part-ii,8,MovieGuys
the-green-hornet,7,MovieGuys
piranha-3-d,7,TheQuietGamer
127-hours,10,Compi24
tangled,8,SEROJ
the-hunger-games,8,BrianMcCritic
dinner-for-schmucks,7,TheQuietGamer
the-american,9,StevenF
despicable-me,9,TheQuietGamer
machete,7,Compi24
the-american,7,MovieGuys
valhalla-rising,8,Spangle
machete,7,BrianMcCritic
how-to-train-your-dragon,10,TheQuietGamer
centurion,7,Spangle
the-other-guys,9,TheQuietGamer
despicable-me,7,SEROJ
resident-evil-afterlife,9,TheQuietGamer
the-town,8,TVJerry
survival-of-the-dead,7,TheQuietGamer
toy-story-3,10,Compi24
toy-story-3,9,BrianMcCritic
the-other-guys,9,StevenF
clash-of-the-titans,8,TheQuietGamer
the-other-guys,7,Spangle
the-other-guys,7,Compi24
harry-brown,8,StevenF
death-at-a-funeral,7,StevenF
the-other-guys,7,MovieGuys
terribly-happy,8,Nesbitt10
the-crazies,7,TheQuietGamer
cop-out,7,TheQuietGamer
predators,7,TheQuietGamer
winters-bone,8,BrianMcCritic
the-town,10,StevenF
date-night,9,TheQuietGamer
mother,8,Nesbitt10
the-town,8,Compi24
the-town,8,BrianMcCritic
the-white-ribbon,10,JLuis_001
the-town,9,MovieGuys
the-girl-with-the-dragon-tattoo,10,MovieGuys
from-paris-with-love,8,TheQuietGamer
the-social-network,10,TVJerry
how-to-train-your-dragon,8,Compi24
how-to-train-your-dragon,8,BrianMcCritic
a-single-man,8,Spangle
the-messenger,8,Spangle
from-paris-with-love,8,StevenF
hot-tub-time-machine,9,TheQuietGamer
the-baader-meinhof-complex,8,Nesbitt10
daybreakers,7,Compi24
hot-tub-time-machine,7,Compi24
edge-of-darkness,7,shiftworker
invictus,7,Spangle
invictus,9,MovieGuys
brothers,7,Spangle
an-education,9,StevenF
an-education,8,Spangle
ninja-assassin,10,Thegodfatherson
old-dogs,8,TheQuietGamer
precious-based-on-the-novel-push-by-sapphire,8,BrianMcCritic
the-book-of-eli,7,StevenF
the-book-of-eli,7,Spangle
the-blind-side,7,Compi24
the-book-of-eli,8,Compi24
zombieland,9,TheQuietGamer
zombieland,10,StevenF
toy-story-3,10,TheQuietGamer
zombieland,10,Compi24
fantastic-mr-fox,8,Spangle
saw-vi,9,TheQuietGamer
in-the-loop,8,Nesbitt10
the-final-destination,9,TheQuietGamer
toy-story-3,10,StevenF
shutter-island,10,StevenF
toy-story-3,9,Spangle
a-serious-man,8,Compi24
this-is-it,10,SEROJ
food-inc,8,MovieGuys
shutter-island,8,Spangle
up,9,BrianMcCritic
shutter-island,8,Compi24
sherlock-holmes,9,StevenF
shutter-island,10,SEROJ
ice-age-dawn-of-the-dinosaurs,7,TheQuietGamer
sherlock-holmes,7,Spangle
sherlock-holmes,8,Compi24
shutter-island,8,MovieGuys
sherlock-holmes,9,MovieGuys
ice-age-dawn-of-the-dinosaurs,9,SEROJ
the-taking-of-pelham-1-2-3,7,MovieGuys
shutter-island,9,shiftworker
the-taking-of-pelham-1-2-3,7,Thegodfatherson
17-again,8,TheQuietGamer
inception,10,StevenF
i-love-you-man,7,Compi24
moon,8,Spangle
inception,10,BrianMcCritic
moon,10,Compi24
sunshine-cleaning,7,Spangle
observe-and-report,10,Compi24
street-fighter-the-legend-of-chun-li,10,TheGeographer52
i-love-you-man,9,TheQuietGamer
i-love-you-man,8,StevenF
the-international,7,Spangle
the-hurt-locker,10,StevenF
adventureland,9,StevenF
defiance,10,Thegodfatherson
adventureland,7,Spangle
push,7,TheQuietGamer
jcvd,9,Thegodfatherson
revolutionary-road,8,Spangle
transformers-revenge-of-the-fallen,9,Bruce722
taken,9,TheQuietGamer
the-boy-in-the-striped-pajamas,8,StevenF
taken,8,Compi24
the-boy-in-the-striped-pajamas,8,SEROJ
role-models,9,TheQuietGamer
role-models,7,Compi24
drag-me-to-hell,8,Spangle
