"['Moviename', 'Userscore', 'Author']"
hell-or-high-water,8,Spangle
hell-or-high-water,9,BrianMcCritic
bad-moms,7,TVJerry
kubo-and-the-two-strings,9,TheQuietGamer
bad-moms,7,BrianMcCritic
sully,7,BrianMcCritic
cafe-society,7,Spangle
jason-bourne,8,Thegodfatherson
our-kind-of-traitor,8,Spangle
complete-unknown,7,Spangle
the-infiltrator,8,BrianMcCritic
blood-father,10,Thegodfatherson
kubo-and-the-two-strings,10,Thegodfatherson
nerve,7,TVJerry
jason-bourne,7,Compi24
nerve,8,Spangle
captain-fantastic,8,TVJerry
nerve,7,Compi24
hell-or-high-water,9,TheQuietGamer
lights-out,7,BrianMcCritic
captain-fantastic,7,Spangle
hell-or-high-water,7,SEROJ
kubo-and-the-two-strings,7,Compi24
captain-fantastic,9,BrianMcCritic
kubo-and-the-two-strings,9,BrianMcCritic
lights-out,7,Compi24
captain-fantastic,7,Compi24
lights-out,7,TheQuietGamer
lights-out,8,Spangle
free-state-of-jones,7,Spangle
the-shallows,7,Spangle
kubo-and-the-two-strings,7,Spangle
free-state-of-jones,7,TVJerry
the-conjuring-2,7,Spangle
suicide-squad,8,Thegodfatherson
arrival,7,shiftworker
the-conjuring-2,9,BrianMcCritic
arrival,9,Spangle
the-neon-demon,7,BrianMcCritic
the-neon-demon,9,Spangle
arrival,10,Compi24
arrival,9,analogkid280
captain-america-civil-war,9,Compi24
sausage-party,8,BrianMcCritic
weiner,8,BrianMcCritic
maggies-plan,7,Spangle
the-nice-guys,7,Compi24
warcraft,9,TheQuietGamer
the-shallows,7,TheQuietGamer
the-nice-guys,9,Spangle
baskin,7,Spangle
teenage-mutant-ninja-turtles-2,7,TheQuietGamer
sausage-party,9,analogkid280
the-conjuring-2,9,TheQuietGamer
the-conjuring-2,9,Compi24
sausage-party,9,TheQuietGamer
last-days-in-the-desert,8,TheQuietGamer
marguerite,7,TVJerry
born-to-be-blue,7,Spangle
suicide-squad,8,Compi24
keanu,7,Compi24
green-room,7,BrianMcCritic
miles-ahead,10,Thegodfatherson
keanu,7,TheQuietGamer
the-nice-guys,8,MovieGuys
the-nice-guys,8,BrianMcCritic
the-lobster,7,Spangle
the-lobster,9,BrianMcCritic
the-nice-guys,7,TVJerry
green-room,8,TVJerry
the-nice-guys,9,TheQuietGamer
green-room,9,TheQuietGamer
green-room,8,Spangle
whiskey-tango-foxtrot,7,TheQuietGamer
eye-in-the-sky,7,BrianMcCritic
eddie-the-eagle,7,BrianMcCritic
hello-my-name-is-doris,7,TVJerry
hello-my-name-is-doris,7,BrianMcCritic
eye-in-the-sky,8,Spangle
midnight-special,7,BrianMcCritic
45-years,8,Spangle
eye-in-the-sky,8,Compi24
hello-my-name-is-doris,7,TheQuietGamer
elvis-nixon,8,TVJerry
london-has-fallen,7,TVJerry
eye-in-the-sky,7,TVJerry
elvis-nixon,7,Spangle
miracles-from-heaven,7,TheQuietGamer
midnight-special,8,TVJerry
10-cloverfield-lane,8,Compi24
midnight-special,8,Spangle
10-cloverfield-lane,7,BrianMcCritic
the-program,7,BrianMcCritic
10-cloverfield-lane,8,Spangle
the-finest-hours,7,TVJerry
10-cloverfield-lane,9,MovieGuys
the-finest-hours,7,SEROJ
triple-9,7,Spangle
10-cloverfield-lane,8,TVJerry
kung-fu-panda-3,7,SEROJ
risen,9,TheQuietGamer
pride-and-prejudice-and-zombies,8,TheQuietGamer
triple-9,7,BrianMcCritic
hail-caesar!,7,BrianMcCritic
hail-caesar!,8,Spangle
hail-caesar!,7,Compi24
joy,9,BrianMcCritic
krampus,7,BrianMcCritic
phoenix,7,TVJerry
captain-america-civil-war,9,BrianMcCritic
zootopia,9,TheQuietGamer
son-of-saul,7,shiftworker
ride-along-2,8,TheQuietGamer
phoenix,8,Spangle
krampus,7,TheQuietGamer
zootopia,9,BrianMcCritic
carol,8,TVJerry
carol,9,Spangle
zootopia,8,SEROJ
the-big-short,8,TVJerry
brooklyn,8,Spangle
the-big-short,8,BrianMcCritic
captain-america-civil-war,7,TVJerry
the-hunger-games-mockingjay---part-2,7,Compi24
brooklyn,9,BrianMcCritic
the-hateful-eight,8,BrianMcCritic
brooklyn,8,TVJerry
the-hunger-games-mockingjay---part-2,9,TheQuietGamer
the-hunger-games-mockingjay---part-2,8,Bruce722
spotlight,10,BrianMcCritic
the-big-short,8,Spangle
the-big-short,7,Compi24
the-big-short,9,MovieGuys
brooklyn,7,Compi24
spotlight,8,Spangle
the-hunger-games-mockingjay---part-2,8,BrianMcCritic
star-wars-episode-vii---the-force-awakens,9,Compi24
brooklyn,9,JLuis_001
carol,8,SEROJ
suffragette,7,TVJerry
freeheld,7,TVJerry
spotlight,10,SEROJ
the-good-dinosaur,7,TVJerry
the-hateful-eight,8,TheQuietGamer
suffragette,7,Spangle
the-good-dinosaur,7,Compi24
the-last-witch-hunter,7,TheQuietGamer
bridge-of-spies,9,BrianMcCritic
chi-raq,8,Spangle
welcome-to-leith,8,JLuis_001
bridge-of-spies,9,TVJerry
the-diary-of-a-teenage-girl,8,BrianMcCritic
the-good-dinosaur,9,TheQuietGamer
goosebumps,8,TheQuietGamer
spectre,7,BrianMcCritic
captain-america-civil-war,8,TheQuietGamer
everest,7,Compi24
spotlight,7,TVJerry
the-big-short,10,JLuis_001
everest,7,Thegodfatherson
everest,7,Spangle
experimenter,7,BrianMcCritic
suicide-squad,7,TheQuietGamer
infinitely-polar-bear,8,BrianMcCritic
bone-tomahawk,7,Spangle
the-walk,8,BrianMcCritic
ghostbusters-2016,7,analogkid280
pan,10,TheQuietGamer
the-hateful-eight,7,Spangle
bridge-of-spies,7,Spangle
the-visit-2015,9,TheQuietGamer
ghostbusters-2016,7,Compi24
the-walk,9,TheQuietGamer
the-hateful-eight,9,CountryPetInn
the-visit-2015,7,analogkid280
the-walk,7,TVJerry
everest,7,JLuis_001
bridge-of-spies,8,MovieGuys
the-intern,7,BrianMcCritic
sicario,10,Thegodfatherson
sicario,8,TVJerry
the-square-2013,9,Nesbitt10
sicario,8,BrianMcCritic
a-christmas-horror-story,8,TheQuietGamer
bridge-of-spies,8,shiftworker
american-ultra,10,Thegodfatherson
american-ultra,7,BrianMcCritic
ghostbusters-2016,8,Spangle
the-stanford-prison-experiment,8,BrianMcCritic
mississippi-grind,7,Spangle
the-man-from-uncle,7,Compi24
mississippi-grind,7,BrianMcCritic
sicario,9,Spangle
no-escape,8,TVJerry
american-ultra,10,TheQuietGamer
the-man-from-uncle,7,Thegodfatherson
the-gift-2015,10,Thegodfatherson
the-end-of-the-tour,8,TVJerry
the-man-from-uncle,8,Spangle
no-escape,7,shiftworker
the-hateful-eight,8,SEROJ
vacation-2015,7,Thegodfatherson
inside-out-2015,8,TheQuietGamer
dark-places,7,TVJerry
creep,7,BrianMcCritic
suicide-squad,7,SEROJ
creep,9,TheQuietGamer
air,7,TheQuietGamer
sicario,7,Compi24
vacation-2015,9,TheQuietGamer
the-gift-2015,7,TVJerry
sicario,8,TheQuietGamer
me-and-earl-and-the-dying-girl,10,Compi24
we-are-still-here,8,TheQuietGamer
me-and-earl-and-the-dying-girl,9,BrianMcCritic
magic-mike-xxl,10,Thegodfatherson
insidious-chapter-3,9,TheQuietGamer
the-gift-2015,7,Compi24
me-and-earl-and-the-dying-girl,7,TVJerry
the-gift-2015,7,BrianMcCritic
me-and-earl-and-the-dying-girl,8,Spangle
insidious-chapter-3,7,BrianMcCritic
the-gift-2015,8,Spangle
san-andreas,7,MovieGuys
the-gift-2015,8,TheQuietGamer
the-man-from-uncle,8,shiftworker
heaven-knows-what,7,TVJerry
the-man-from-uncle,7,JLuis_001
inside-out-2015,8,TVJerry
the-overnight,10,TheQuietGamer
the-age-of-adaline,10,Thegodfatherson
inside-out-2015,8,Compi24
the-gift-2015,8,JLuis_001
san-andreas,9,TVJerry
inside-out-2015,9,Spangle
inside-out-2015,9,BrianMcCritic
cinderella,7,TVJerry
pitch-perfect-2,8,TheQuietGamer
cinderella,9,TheQuietGamer
good-kill,7,TVJerry
pitch-perfect-2,7,TVJerry
good-kill,7,JLuis_001
5-to-7,8,RoraEst
pitch-perfect-2,7,BrianMcCritic
iris-2015,7,TVJerry
cinderella,8,Spangle
two-days-one-night,8,Spangle
tomorrowland,7,TheQuietGamer
two-days-one-night,9,JLuis_001
child-44,9,Thegodfatherson
hot-pursuit,8,TheQuietGamer
furious-7,10,Thegodfatherson
what-we-do-in-the-shadows,7,TVJerry
furious-7,8,TVJerry
tomorrowland,7,BrianMcCritic
white-god,8,JLuis_001
the-water-diviner,7,Compi24
the-water-diviner,7,Thegodfatherson
home-2015,7,TVJerry
unfriended,7,TheQuietGamer
inside-out-2015,9,Bruce722
the-big-chill,7,Spangle
unfriended,7,MovieGuys
71,8,TVJerry
what-we-do-in-the-shadows,10,RoraEst
the-second-best-exotic-marigold-hotel,10,Thegodfatherson
danny-collins,7,TVJerry
home-2015,7,TheQuietGamer
get-hard,8,Bruce722
furious-7,8,Compi24
the-town-that-dreaded-sundown,7,TheQuietGamer
slow-west,7,BrianMcCritic
71,7,Spangle
joe-dirt,8,TheQuietGamer
furious-7,9,TheQuietGamer
while-were-young,8,TVJerry
inside-out-2015,8,SEROJ
71,7,JLuis_001
maggie,8,TheQuietGamer
slow-west,7,Spangle
the-game,8,Spangle
clouds-of-sils-maria,7,TVJerry
it-follows,10,Spangle
get-hard,9,TheQuietGamer
woman-in-gold,7,TVJerry
maggie,10,Thegodfatherson
ex-machina,8,Thegodfatherson
the-game,8,Compi24
clouds-of-sils-maria,8,Spangle
while-were-young,8,BrianMcCritic
maggie,8,BrianMcCritic
focus-2015,7,TVJerry
the-spongebob-movie-sponge-out-of-water,7,BrianMcCritic
mad-max-fury-road,8,Spangle
mcfarland-usa,7,BrianMcCritic
focus-2015,7,Thegodfatherson
the-cobbler,8,TheQuietGamer
mortdecai,7,TheQuietGamer
zombeavers,8,TheQuietGamer
the-spongebob-movie-sponge-out-of-water,10,Thegodfatherson
the-cobbler,9,Thegodfatherson
mortdecai,7,Thegodfatherson
still-alice,8,TVJerry
leviathan-2014,9,JLuis_001
blackhat,7,Spangle
ex-machina,9,BrianMcCritic
the-spongebob-movie-sponge-out-of-water,7,SEROJ
selma,9,TVJerry
selma,9,MovieGuys
winter-sleep,9,JLuis_001
it-follows,8,BrianMcCritic
the-wedding-ringer,9,Bruce722
mr-turner,7,TVJerry
a-girl-walks-home-alone-at-night,9,TheQuietGamer
a-girl-walks-home-alone-at-night,7,Spangle
inherent-vice,8,Spangle
big-eyes,7,Spangle
ex-machina,7,Compi24
big-eyes,9,analogkid280
selma,10,Thegodfatherson
the-gambler,8,theoffice
big-eyes,8,Compi24
mommy,8,JLuis_001
paddington,8,BrianMcCritic
mr-turner,9,JLuis_001
a-girl-walks-home-alone-at-night,7,JLuis_001
inherent-vice,10,Thegodfatherson
selma,9,analogkid280
big-eyes,7,TVJerry
big-eyes,8,Thegodfatherson
ex-machina,8,Spangle
inherent-vice,9,analogkid280
top-five,7,BrianMcCritic
paddington,7,shiftworker
unbroken,9,TheQuietGamer
it-follows,8,TheQuietGamer
the-breakfast-club,8,Spangle
inside-out-2015,8,shiftworker
inherent-vice,7,BrianMcCritic
song-of-the-sea,9,SEROJ
selma,9,Spangle
song-of-the-sea,8,shiftworker
annie-2014,7,Thegodfatherson
inside-out-2015,9,JLuis_001
top-five,7,TVJerry
unbroken,7,BrianMcCritic
top-five,9,Thegodfatherson
the-breakfast-club,8,MovieGuys
exodus-gods-and-kings,9,theoffice
into-the-woods,7,BrianMcCritic
unbroken,8,analogkid280
top-five,8,Spangle
the-babadook,8,TheQuietGamer
exodus-gods-and-kings,7,Compi24
the-babadook,8,BrianMcCritic
inherent-vice,9,JLuis_001
the-captive-2014,8,TVJerry
ex-machina,7,shiftworker
foxcatcher,8,Compi24
exodus-gods-and-kings,7,TheQuietGamer
into-the-woods,9,TVJerry
ex-machina,8,JLuis_001
it-follows,8,JLuis_001
into-the-woods,9,MovieGuys
horrible-bosses-2,8,TheQuietGamer
exodus-gods-and-kings,8,Thegodfatherson
the-babadook,9,Spangle
horrible-bosses-2,7,TVJerry
the-hunger-games-mockingjay---part-1,7,MovieGuys
mad-max-fury-road,9,Compi24
foxcatcher,8,TVJerry
big-hero-6,8,BrianMcCritic
dumb-and-dumber-to,8,analogkid280
night-at-the-museum-secret-of-the-tomb,8,analogkid280
whiplash,10,MovieGuys
mad-max-fury-road,9,TVJerry
the-disappearance-of-eleanor-rigby-him,7,JLuis_001
dumb-and-dumber-to,7,SEROJ
the-disappearance-of-eleanor-rigby-them,7,JLuis_001
rosewater,7,TVJerry
night-at-the-museum-secret-of-the-tomb,8,TheQuietGamer
the-theory-of-everything,8,MovieGuys
foxcatcher,9,BrianMcCritic
dear-white-people,7,BrianMcCritic
predestination,8,BrianMcCritic
the-theory-of-everything,9,TVJerry
predestination,8,Spangle
whiplash,10,BrianMcCritic
predestination,8,JLuis_001
the-hunger-games-mockingjay---part-1,8,BrianMcCritic
the-hobbit-the-battle-of-the-five-armies,10,Thegodfatherson
the-theory-of-everything,8,Compi24
into-the-woods,8,TheQuietGamer
predestination,10,Thegodfatherson
whiplash,7,TVJerry
fury,8,TheQuietGamer
the-interview,7,BrianMcCritic
before-i-go-to-sleep,7,Spangle
fury,7,Bruce722
coherence,8,Spangle
big-hero-6,8,TVJerry
into-the-woods,8,Spangle
fury,7,Spangle
the-interview,8,TVJerry
the-hunger-games-mockingjay---part-1,7,Compi24
big-hero-6,8,analogkid280
coherence,8,JLuis_001
foxcatcher,8,JLuis_001
the-hobbit-the-battle-of-the-five-armies,7,TVJerry
the-theory-of-everything,8,Spangle
the-theory-of-everything,8,BrianMcCritic
big-hero-6,9,TheQuietGamer
big-hero-6,10,Bruce722
the-hunger-games-mockingjay---part-1,9,TheQuietGamer
honeymoon,9,TheQuietGamer
honeymoon,7,Spangle
the-hobbit-the-battle-of-the-five-armies,7,Bruce722
the-hunger-games-mockingjay---part-1,7,Bruce722
the-hobbit-the-battle-of-the-five-armies,8,theoffice
the-judge,7,MovieGuys
the-hunger-games-mockingjay---part-1,8,analogkid280
whiplash,8,Spangle
dumb-and-dumber-to,8,TheQuietGamer
the-hobbit-the-battle-of-the-five-armies,8,Compi24
gone-girl,7,analogkid280
whiplash,10,Compi24
mad-max-fury-road,10,Thegodfatherson
the-interview,8,Bruce722
the-theory-of-everything,8,JLuis_001
the-hobbit-the-battle-of-the-five-armies,7,TheQuietGamer
whiplash,8,SEROJ
the-interview,7,MovieGuys
big-hero-6,8,Compi24
the-guest,8,BrianMcCritic
get-on-up,8,TVJerry
tusk,7,BrianMcCritic
gone-girl,8,Spangle
the-interview,7,Thegodfatherson
horns,9,TheQuietGamer
gone-girl,9,TheQuietGamer
mad-max-fury-road,7,Bruce722
tusk,8,TheQuietGamer
the-interview,9,TheQuietGamer
fury,9,CountryPetInn
a-merry-friggin-christmas,7,TheQuietGamer
the-congress,9,analogkid280
the-equalizer,9,Thegodfatherson
the-giver,7,Thegodfatherson
the-guest,8,Spangle
the-equalizer,7,theoffice
gone-girl,10,BrianMcCritic
dawn-of-the-planet-of-the-apes,10,BrianMcCritic
the-guest,7,Compi24
the-equalizer,7,MovieGuys
dawn-of-the-planet-of-the-apes,8,theoffice
the-hundred-foot-journey,9,MovieGuys
tammy,7,TheQuietGamer
mad-max-fury-road,8,BrianMcCritic
happy-christmas,7,Spangle
the-equalizer,10,Compi24
dawn-of-the-planet-of-the-apes,10,analogkid280
jersey-boys,7,catcarlo
the-expendables-3,7,TheQuietGamer
the-expendables-3,7,theoffice
gone-girl,8,Compi24
fury,9,Compi24
the-wind-rises,7,TVJerry
lets-be-cops,7,TheQuietGamer
gone-girl,8,TVJerry
whiplash,9,JLuis_001
dawn-of-the-planet-of-the-apes,9,RoraEst
the-giver,7,shiftworker
life-after-beth,7,BrianMcCritic
kundo-age-of-the-rampant,7,analogkid280
begin-again,7,Spangle
mr-peabody-sherman,8,analogkid280
mr-peabody-sherman,7,Thegodfatherson
million-dollar-arm,7,Thegodfatherson
mr-peabody-sherman,8,BrianMcCritic
sex-tape,7,Bruce722
begin-again,7,TVJerry
how-to-train-your-dragon-2,10,BrianMcCritic
cold-in-july,8,Spangle
obvious-child,7,BrianMcCritic
cold-in-july,7,BrianMcCritic
chef,10,MovieGuys
begin-again,8,analogkid280
begin-again,8,BrianMcCritic
how-to-train-your-dragon-2,7,TheQuietGamer
chef,8,TVJerry
the-purge-anarchy,7,TheQuietGamer
dawn-of-the-planet-of-the-apes,9,TheQuietGamer
snowpiercer,8,Nesbitt10
chef,7,Spangle
how-to-train-your-dragon-2,10,RoraEst
the-signal-2014,7,analogkid280
chef,8,BrianMcCritic
the-signal-2014,7,BrianMcCritic
words-and-pictures,7,TVJerry
dawn-of-the-planet-of-the-apes,7,TVJerry
draft-day,7,BrianMcCritic
palo-alto,7,TVJerry
neighbors,8,Compi24
the-rover,7,Spangle
dawn-of-the-planet-of-the-apes,8,Compi24
neighbors,9,TheQuietGamer
the-fault-in-our-stars,10,Thegodfatherson
the-fault-in-our-stars,9,BrianMcCritic
ida,8,Spangle
neighbors,7,Thegodfatherson
ida,7,JLuis_001
locke,8,BrianMcCritic
only-lovers-left-alive,10,Thegodfatherson
the-railway-man,7,TVJerry
filth,9,TheQuietGamer
muppets-most-wanted,10,Thegodfatherson
locke,10,Thegodfatherson
the-railway-man,7,Spangle
muppets-most-wanted,7,TheQuietGamer
cesar-chavez,8,Thegodfatherson
dom-hemingway,10,Thegodfatherson
blue-ruin,10,TVJerry
cuban-fury,10,Thegodfatherson
the-other-woman-2014,8,Bruce722
muppets-most-wanted,7,TVJerry
dom-hemingway,7,TVJerry
filth,7,BrianMcCritic
only-lovers-left-alive,7,TVJerry
neighbors,9,BrianMcCritic
only-lovers-left-alive,9,Spangle
locke,7,TVJerry
blue-ruin,8,Spangle
x-men-days-of-future-past,8,Compi24
noah,9,theoffice
neighbors,7,MovieGuys
blue-ruin,7,BrianMcCritic
noah,9,Thegodfatherson
locke,8,Spangle
only-lovers-left-alive,8,JLuis_001
rio-2,7,Thegodfatherson
gone-girl,9,MovieGuys
blue-ruin,8,JLuis_001
sabotage,7,Thegodfatherson
snowpiercer,7,TVJerry
sabotage,7,TheQuietGamer
heaven-is-for-real,8,Bhawk
mad-max-fury-road,8,MovieGuys
the-fault-in-our-stars,7,Spangle
snowpiercer,7,BrianMcCritic
x-men-days-of-future-past,10,Thegodfatherson
oculus,7,Thegodfatherson
gone-girl,8,shiftworker
x-men-days-of-future-past,9,BrianMcCritic
snowpiercer,8,RoraEst
blood-ties,9,Thegodfatherson
the-lunchbox,10,Thegodfatherson
dawn-of-the-planet-of-the-apes,8,Spangle
rob-the-mob,7,MovieGuys
oculus,7,TheQuietGamer
transcendence,7,TheQuietGamer
non-stop-2014,8,analogkid280
snowpiercer,7,Compi24
jack-ryan-shadow-recruit,9,Bruce722
walk-of-shame,7,Bruce722
300-rise-of-an-empire,7,Bruce722
x-men-days-of-future-past,9,TheQuietGamer
oculus,7,BrianMcCritic
enemy,8,Spangle
non-stop-2014,8,TheQuietGamer
jack-ryan-shadow-recruit,8,TVJerry
under-the-skin,7,BrianMcCritic
jack-ryan-shadow-recruit,7,TheQuietGamer
non-stop-2014,8,Thegodfatherson
300-rise-of-an-empire,9,Thegodfatherson
oculus,7,Spangle
jack-ryan-shadow-recruit,8,MovieGuys
snowpiercer,8,JLuis_001
endless-love,7,Thegodfatherson
about-last-night,8,Thegodfatherson
jack-ryan-shadow-recruit,7,BrianMcCritic
3-days-to-kill,7,MovieGuys
3-days-to-kill,7,TheQuietGamer
non-stop-2014,7,BrianMcCritic
the-grand-budapest-hotel,10,Thegodfatherson
the-grand-budapest-hotel,8,TVJerry
tims-vermeer,8,TVJerry
jack-ryan-shadow-recruit,7,RoraEst
pompeii,9,TheQuietGamer
noah,7,TVJerry
non-stop-2014,8,MovieGuys
lone-survivor,7,Thegodfatherson
the-monuments-men,7,theoffice
the-lego-movie,10,Thegodfatherson
the-lego-movie,9,Compi24
mad-max-fury-road,7,shiftworker
lone-survivor,9,BrianMcCritic
x-men-days-of-future-past,7,Bruce722
the-grand-budapest-hotel,9,MovieGuys
lone-survivor,8,TVJerry
lone-survivor,9,TheQuietGamer
noah,9,TheQuietGamer
mad-max-fury-road,10,JLuis_001
the-monuments-men,7,Spangle
noah,7,Spangle
black-nativity,7,Thegodfatherson
the-lego-movie,9,analogkid280
the-secret-life-of-walter-mitty,7,Thegodfatherson
lone-survivor,7,Bruce722
noah,7,BrianMcCritic
philomena,8,TVJerry
philomena,8,catcarlo
lone-survivor,9,Compi24
ride-along,8,analogkid280
philomena,9,Thegodfatherson
a-touch-of-sin,8,JLuis_001
ride-along,7,TheQuietGamer
grudge-match,7,TheQuietGamer
x-men-days-of-future-past,7,theoffice
grudge-match,7,Thegodfatherson
robocop-2013,7,BrianMcCritic
godzilla-2014,10,TheQuietGamer
philomena,8,Spangle
august-osage-county,8,Compi24
godzilla-2014,9,BrianMcCritic
philomena,9,MovieGuys
paranormal-activity-the-marked-ones,7,Thegodfatherson
the-past,8,Nesbitt10
ride-along,8,Bruce722
the-past,8,TVJerry
delivery-man,7,TheQuietGamer
philomena,7,JLuis_001
godzilla-2014,10,Thegodfatherson
robocop-2013,7,Compi24
august-osage-county,7,MovieGuys
the-secret-life-of-walter-mitty,7,TheQuietGamer
