another-earth,0.9999997
orphan,0.4625529
rings,0.40035033
naked-lunch,0.34878495
shirin-in-love,0.33058146
phenomenon,0.31288883
lornas-silence,0.2898786
jaws,0.28674817
the-unknown-woman,0.27019855
beauty-and-the-beast-1991,0.26832977
zero-bridge,0.26832977
the-boy-in-the-striped-pajamas,0.26691276
heal-the-living,0.26524583
twin-falls-idaho,0.2649821
the-witch,0.26426736
ruby-sparks,0.2642635
youngheart,0.2642635
brooklyn,0.25948015
the-day-the-earth-stood-still,0.25585434
the-drop,0.25133982
the-good-girl,0.24070312
amelia,0.22808546
hunt-for-the-wilderpeople,0.22135532
the-longest-ride,0.20957075
thor,0.20834526
keane,0.20447586
air-guitar-nation,0.20009883
the-water-diviner,0.19925794
the-sacrament,0.1914414
sound-of-my-voice,0.1883978
martha-marcy-may-marlene,0.188385
safe-haven,0.18693273
ninas-heavenly-delights,0.1868133
dance-flick,0.18233341
the-edge-of-heaven,0.18152626
cloud-atlas,0.18059714
the-blackcoats-daughter,0.17991059
khadak,0.17891008
to-the-limit,0.1759904
me-you-them,0.17539635
everlasting-moments,0.17435144
i-sell-the-dead,0.17241628
vitus,0.16346925
a-long-way-down,0.15753746
madeas-witness-protection,0.15557449
dear-john,0.15556794
fantastic-mr-fox,0.15198593
dont-be-afraid-of-the-dark,0.151725
afflicted,0.15005383
secrets-lies,0.14828418
